OBJECTID,CLASS,COORD_KEY,ONE_WAY,FT_COST,TF_COST,SPEED,WEIGHT,F_ZLEV,T_ZLEV,LENGTH,N_POINTS,ST_LABEL,L_LO_ADD,L_HI_ADD,R_LO_ADD,R_HI_ADD,FULL_NAME,NAME,ST_ALIAS1,ST_ALIAS2,ST_ALIAS3,LOW_RANGE,HI_RANGE,TO_ST,FROM_ST,ZIPL,ZIPR,STATE_ABBR,TYPE,L_VENUE,R_VENUE,PREFIX,SUFFIX,COUNTY,PRETYPE,JOIN_ID,L_ESN,R_ESN,LJURIS,RJURIS,GlobalID,TRUCKROUTE,Shape.STLength(),CREATION_DATE,CREATION_USER,MODIFY_DATE,MODIFY_USER,NO_MSAG,C1_EXCEPTION
261,LOCAL,0027900507,null,0.57716021,0.57716021,45,0,0,0,696.63699242,0,"4 RD",2077,2099,2076,2098,"4 RD",4,null,null,null,2076,2099,"U RD","1 6/10 RD",81525,81525,CO,RD,MACK,MACK,null,null,MESA,null,null,1135,1135,MK,MK,{91A3DA6B-6723-46DD-9D4F-E4313D2CCA34},null,696.6369924074113,41065.63006453,jacksont,20161214.121223,jacksont-admin,null,null
8087,LOCAL,0023800595,null,0.1494535,0.1494535,25,0,0,0,100.21754534,0,"PEACH AVE",401,499,400,498,"PEACH AVE",PEACH,null,null,null,400,499,"W 5TH ST","W 4TH ST",81526,81526,CO,AVE,PALISADE,PALISADE,null,null,MESA,null,null,1137,1137,PA,PA,{D6043024-CC4D-4B3D-B900-F7DF4580D70B},null,100.2175715454077,41065.72627165,jacksont,20161214.1213,jacksont-admin,null,null
2253,LOCAL,0022400570,null,0.04669946,0.04669946,25,0,0,0,31.31479043,0,"DEE VEE DR",145,159,144,158,"DEE VEE DR","DEE VEE",null,null,null,144,159,"SHARON PL","SHARON PL",81503,81503,CO,DR,"GRAND JUNCTION","GRAND JUNCTION",null,null,MESA,null,null,1287,1287,GU,GU,{9555335F-0919-464A-8D52-8CD768C2A6BF},null,31.314790435638635,41065.65240428,jacksont,20161214.121233,jacksont-admin,null,null
11739,LOCAL,0022700569,null,0.11042772,0.11042772,25,0,0,0,74.04841229,0,"COVENTRY CT",261,299,260,298,"COVENTRY CT",COVENTRY,null,null,null,260,299,"COVENTRY PL",null,81503,81503,CO,CT,"GRAND JUNCTION","GRAND JUNCTION",null,null,MESA,null,null,1289,1289,GJ,GJ,{8169D25F-C7A1-465A-9423-62495B082DDD},null,74.04839468628683,41065.70068641,jacksont,20161214.10535,jacksont-admin,null,null
9415,LOCAL," ",null,0.12488069,0.12488069,25,0,0,0,83.73999602,0,"MIA DR",2944,2948,2943,2949,"MIA DR",MIA,null,null,null,2943,2949,"MERLES WAY",null,81503,81503,CO,DR,"GRAND JUNCTION","GRAND JUNCTION",null,null,MESA,null,null,1289,1289,GJ,GJ,{1F560853-1B0E-43D9-A2AE-15CADC833C46},null,83.73999547783156,41065.74457649,jacksont,20161214.12131,jacksont-admin,null,null
8751,LOCAL,0022300574,null,0.2243381,0.2243381,25,0,0,0,150.43216146,0,"FRONTAGE RD",0,0,2981,2983,"FRONTAGE RD",FRONTAGE,null,null,null,0,2983,"BURNS DR","WHITEHEAD DR",81503,81503,CO,RD,"GRAND JUNCTION","GRAND JUNCTION",null,null,MESA,null,null,1287,1287,GU,GU,{7883FC6F-64A8-4C15-9A02-03A34CBAC02B},null,150.43215296751848,41065.73302068,jacksont,20161214.104653,jacksont-admin,null,null
9083,LOCAL," ",null,0.0529225,0.0529225,25,0,0,0,35.48771826,0,"CLIFFROSE AVE",1012,1016,1015,1019,"CLIFFROSE AVE",CLIFFROSE,null,null,null,1012,1019,"BIRCHWOOD ST","AN METHYST DR",81521,81521,CO,AVE,FRUITA,FRUITA,null,null,MESA,null,null,1115,1115,FR,FR,{6654EDF6-C914-4A5D-A704-0A62B4225029},null,35.487718790899564,41065.7337848,jacksont,20161214.121305,jacksont-admin,null,null
3178,LOCAL,0024900542,null,0.10149709,0.10149709,25,0,0,0,68.05989494,0,"N SYCAMORE ST",127,199,126,198,"N SYCAMORE ST",SYCAMORE,null,null,null,126,199,null,"LAURA AVE",81521,81521,CO,ST,FRUITA,FRUITA,N,null,MESA,null,null,1115,1115,FR,FR,{513FE7BA-610B-4DBA-9DE4-C5FE883A43DA},null,68.05989494694057,41065.66707866,jacksont,20161214.121238,jacksont-admin,null,null
9747,LOCAL," ",null,0.36655385,0.36655385,25,0,0,0,245.79635382,0,"MYERS LN",1601,1715,1600,1714,"MYERS LN",MYERS,null,null,null,1600,1715,"LOIS DR","BRANDON DR",81521,81521,CO,LN,FRUITA,FRUITA,null,null,MESA,null,null,1115,1115,FR,FR,{A00B0162-CE50-4178-9F06-2D8D8D401DAB},null,245.79635308983362,41065.74745672,jacksont,20161214.12131,jacksont-admin,null,null
5502,LOCAL,0023600581,null,0.12493261,0.12493261,25,0,0,0,83.77481304,0,"PEACH ST",202,498,203,499,"PEACH ST",PEACH,null,null,null,202,499,"LOIS ST","SMALLWOOD LN",81520,81520,CO,ST,CLIFTON,CLIFTON,null,null,MESA,null,null,1252,1252,CL,CL,{A0879641-8CB3-4FF9-8297-50006DA5ADD0},null,83.77481304038984,41065.69784606,jacksont,20161214.12125,jacksont-admin,null,null
1257,LOCAL,0023700578,null,0.13244187,0.13244187,25,0,0,0,88.81022125,0,"CATHY LEE PL",3130,3134,3131,3135,"CATHY LEE PL","CATHY LEE",null,null,null,3130,3135,"IAN CT","IRISH WALK",81504,81504,CO,PL,"GRAND JUNCTION","GRAND JUNCTION",null,null,MESA,null,null,1325,1325,GU,GU,{C51E9943-3D97-4DBA-BD3D-BCCC04BB512C},null,88.81022125857517,41065.63638888,jacksont,20161214.121228,jacksont-admin,null,null
2585,LOCAL,0024700541,null,0.17564073,0.17564073,25,0,0,0,117.77765202,0,"KALEY ST",141,213,140,214,"KALEY ST",KALEY,null,null,null,140,214,"CHELSEA CT","DOVER ST",81521,81521,CO,ST,FRUITA,FRUITA,null,null,MESA,null,null,1115,1115,FR,FR,{66BF4225-13F4-4FEF-A5BC-D81F06B602AC},null,117.77764996010403,41065.66605599,jacksont,20161214.103605,jacksont-admin,null,null
12664,LOCAL,0024800542,null,0.15782136,0.15782136,25,0,0,0,105.82869412,0,"S ASH ST",250,298,251,299,"S ASH ST",ASH,null,null,null,250,299,"E HARRISON AVE","E CAROLINA AVE",81521,81521,CO,ST,FRUITA,FRUITA,S,null,MESA,null,null,1115,1115,FR,FR,{CCD70223-6C91-46EA-9C0B-C96C75ACCDE1},null,105.82869412337043,41065.62217096,jacksont,20161214.121222,jacksont-admin,null,null
2917,LOCAL,0023700574,null,0.18873345,0.18873345,25,0,0,0,126.55710646,0,"BABBLING BROOK DR",2974,2988,2975,2983,"BABBLING BROOK DR","BABBLING BROOK",null,null,null,2974,2988,"OX BOW RD","SPRINGBROOK DR",81504,81504,CO,DR,"GRAND JUNCTION","GRAND JUNCTION",null,null,MESA,null,null,1297,1297,GJ,GJ,{729CC420-C885-476A-ABE6-ABB543C680E6},null,126.55710646959831,41065.65796307,jacksont,20161214.121233,jacksont-admin,null,null
6498,LOCAL,0023600579,null,0.24108242,0.24108242,25,0,0,0,161.66023286,0,"NATHAN AVE",3176,3186,3175,3187,"NATHAN AVE",NATHAN,null,null,null,3175,3187,"LEAH CT","ENTRADA ST",81504,81504,CO,AVE,"GRAND JUNCTION","GRAND JUNCTION",null,null,MESA,null,null,1325,1325,GU,GU,{CE1F26F0-99C0-4B4C-AFFD-E4FAD9B84EF2},null,161.66024335071066,41065.7071413,jacksont,20161214.121254,jacksont-admin,null,null
11336,LOCAL,0023800566,null,0.22860371,0.22860371,20,0,0,0,122.63400824,0,"HORIZON GLEN CT",3757,3845,0,0,"HORIZON GLEN CT","HORIZON GLEN",null,null,null,0,3845,null,null,81506,81506,CO,CT,"GRAND JUNCTION","GRAND JUNCTION",null,null,MESA,null,null,1302,1302,GJ,GJ,{D1B1CE83-4927-4F17-B256-929A6E26CD6C},null,122.63401165586926,40948.47929053,jacksont,20161214.1052,jacksont-admin,null,null
7091,LOCAL,0023700567,null,0.16137068,0.16137068,25,0,0,0,108.20872586,0,"CREST VIEW CT",1500,1698,1501,1699,"CREST VIEW CT","CREST VIEW",null,null,null,1500,1699,"CREST VIEW DR",null,81506,81506,CO,CT,"GRAND JUNCTION","GRAND JUNCTION",null,null,MESA,null,null,1297,1297,GJ,GJ,{74877BEA-F345-4A19-AC8E-4BC5ECABB61A},null,108.20873676318271,41065.72100914,jacksont,20161214.104453,jacksont-admin,null,null
